"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"88","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/21/2021"
"89","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/20/2021"
"90","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/19/2021"
"91","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/18/2021"
"92","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/16/2021"
"93","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/15/2021"
"94","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2100","2200","2150","1/15/2021"
"95","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2300","2400","2350","1/15/2021"
"96","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/12/2021"
"97","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","1/11/2021"
"98","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2120","2200","2160","1/8/2021"
"99","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2300","2400","2350","1/8/2021"
"100","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2100","2200","2150","1/1/2021"
"101","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2300","2400","2350","1/1/2021"
