"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"197","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1750","1650","1/11/2021"
"198","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","1/11/2021"
"199","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1400","1600","1550","1/10/2021"
"200","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2400","2800","2500","1/10/2021"
"201","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2000","1750","1/9/2021"
"202","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1500","1250","1/9/2021"
"203","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1400","1600","1550","1/9/2021"
"204","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2500","2800","2600","1/9/2021"
"205","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1200","1800","1600","1/8/2021"
"206","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1600","1300","1/8/2021"
"207","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1600","1550","1/8/2021"
"208","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2200","1700","1/7/2021"
"209","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1500","1250","1/7/2021"
"210","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1600","1550","1/7/2021"
"211","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2400","2700","2500","1/7/2021"
"212","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1200","2000","1800","1/6/2021"
"213","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1600","1400","1/6/2021"
"214","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1600","1550","1/6/2021"
"215","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2500","2700","2500","1/6/2021"
