Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2,KARNATAKA,Chikmagalur,Chikkamagalore,Antawala,Antawala,FAQ,4000,4000,4000,3/25/2021
4,KARNATAKA,Hassan,Hassan,Antawala,Antawala,FAQ,5000,5000,5000,3/24/2021
3,KARNATAKA,Chikmagalur,Chikkamagalore,Antawala,Antawala,FAQ,4000,4000,4000,3/16/2021
1,CHHATTISGARH,Narayanpur,Narayanpur,Antawala,Other,FAQ,9000,10000,9500,2/25/2021
