"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"111","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","2/10/2021"
"112","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/9/2021"
"113","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","2/9/2021"
"114","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/8/2021"
"115","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","2/8/2021"
"116","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/6/2021"
"117","NAGALAND","Mokokchung","Mokokchung Town","White Pumpkin","White Pumpkin","FAQ","3000","4000","3500","2/6/2021"
"118","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/5/2021"
"119","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","2/5/2021"
"120","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/4/2021"
"121","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","2/4/2021"
"122","ODISHA","Koraput","Koraput","White Pumpkin","Other","FAQ","1200","1400","1300","2/4/2021"
"123","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","2/3/2021"
"124","KARNATAKA","Kolar","Malur","White Pumpkin","White Pumpkin","FAQ","1000","1500","1250","2/3/2021"
"125","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","2/3/2021"
"126","ODISHA","Koraput","Koraput","White Pumpkin","Other","FAQ","1100","1300","1200","2/3/2021"
"127","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","2/2/2021"
"128","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","2/1/2021"
"129","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1300","1200","2/1/2021"
"130","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1300","1200","1/30/2021"
"131","NAGALAND","Mokokchung","Mokokchung Town","White Pumpkin","White Pumpkin","FAQ","3000","3400","3200","1/30/2021"
"132","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","1/28/2021"
"133","KARNATAKA","Kolar","Malur","White Pumpkin","White Pumpkin","FAQ","1000","3200","3030","1/28/2021"
"134","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1300","1200","1/28/2021"
"135","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/27/2021"
"136","KARNATAKA","Mysore","Santhesargur","White Pumpkin","White Pumpkin","FAQ","1383","1383","1383","1/27/2021"
