Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
59,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/8/2021
60,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/8/2021
61,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1900,2200,2000,4/8/2021
62,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/8/2021
63,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/8/2021
64,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,3000,3400,3200,4/8/2021
65,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1700,1900,1800,4/8/2021
66,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/8/2021
67,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/8/2021
68,KERELA,Alappuzha,Madhavapuram,Amphophalus,Other,FAQ,3800,4200,4000,4/8/2021
69,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1200,1300,1300,4/8/2021
70,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,4/8/2021
71,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/8/2021
72,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,3300,3500,3400,4/8/2021
73,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/8/2021
74,KERELA,Thirssur,Pariyaram,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/8/2021
75,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/8/2021
76,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2500,3000,2800,4/8/2021
77,KERELA,Kollam,Punalur,Amphophalus,Amphophalus,FAQ,1600,2000,1800,4/8/2021
78,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,2100,2200,2100,4/8/2021
79,KERELA,Kozhikode(Calicut),Thamarassery,Amphophalus,Other,FAQ,1900,2300,2100,4/8/2021
80,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,1400,1600,1600,4/8/2021
81,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2000,3600,2400,4/8/2021
82,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/7/2021
83,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,1800,2000,1900,4/7/2021
84,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/7/2021
85,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2300,2100,4/7/2021
86,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/7/2021
87,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/7/2021
88,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,3000,3400,3200,4/7/2021
89,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/7/2021
90,KERELA,Kollam,Kollam,Amphophalus,Other,FAQ,2400,2800,2600,4/7/2021
91,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/7/2021
92,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/7/2021
93,KERELA,Alappuzha,Madhavapuram,Amphophalus,Other,FAQ,4000,4500,4200,4/7/2021
94,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1200,1250,1250,4/7/2021
95,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2300,2500,2400,4/7/2021
96,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,2600,3000,2800,4/7/2021
97,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/7/2021
98,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/7/2021
99,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2000,2500,2200,4/7/2021
100,KERELA,Thiruvananthapuram,Pothencode,Amphophalus,Other,FAQ,3500,3800,3600,4/7/2021
101,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,2000,2200,2100,4/7/2021
102,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,1400,1600,1600,4/7/2021
103,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2400,3600,2800,4/7/2021
104,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2500,2000,4/6/2021
105,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,4/6/2021
106,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2300,2100,4/6/2021
107,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/6/2021
108,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,3000,3400,3200,4/6/2021
109,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/6/2021
110,KERELA,Kollam,Kollam,Amphophalus,Other,FAQ,2400,2800,2600,4/6/2021
111,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/6/2021
112,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/6/2021
113,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1250,1300,1250,4/6/2021
114,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/6/2021
115,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/6/2021
116,KERELA,Kollam,Sasthamkotta,Amphophalus,Other,FAQ,2200,2800,2500,4/6/2021
117,KERELA,Kozhikode(Calicut),Thamarassery,Amphophalus,Other,FAQ,1800,2400,2000,4/6/2021
118,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/5/2021
119,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,1400,1600,1500,4/5/2021
120,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2500,2000,4/5/2021
121,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,4/5/2021
122,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2300,2200,4/5/2021
123,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/5/2021
124,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/5/2021
125,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,3000,3400,3200,4/5/2021
126,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/5/2021
127,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/5/2021
128,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/5/2021
129,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1200,1250,1250,4/5/2021
130,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3000,3400,3200,4/5/2021
131,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,3300,3500,3400,4/5/2021
132,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1400,1600,1500,4/5/2021
133,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/5/2021
134,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2000,2500,2200,4/5/2021
135,KERELA,Kollam,Punalur,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/5/2021
136,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1700,2000,1800,4/5/2021
137,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,1400,1600,1600,4/5/2021
138,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2400,3600,2800,4/5/2021
139,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/4/2021
140,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,2000,2200,2100,4/4/2021
141,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2200,2600,2400,4/4/2021
142,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,3000,3000,3000,4/3/2021
143,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1700,2200,2000,4/3/2021
144,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2200,2000,4/3/2021
145,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/3/2021
146,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/3/2021
147,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,3000,3400,3200,4/3/2021
148,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/3/2021
149,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/3/2021
150,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/3/2021
151,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2200,2600,2400,4/3/2021
152,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3000,3400,3200,4/3/2021
153,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,2600,3000,2800,4/3/2021
154,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/3/2021
155,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/3/2021
156,KERELA,Thiruvananthapuram,Pothencode,Amphophalus,Other,FAQ,2300,2500,2400,4/3/2021
157,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,4/3/2021
158,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,1400,1600,1600,4/3/2021
159,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2400,4000,3000,4/3/2021
160,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/2/2021
161,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/2/2021
162,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/2/2021
163,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/2/2021
164,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2160,2100,4/2/2021
