Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
5,RAJASTHAN,Swai Madhopur,Sawai Madhopur,Ambada Seed,Other,FAQ,1575,1655,1600,3/24/2021
1,CHHATTISGARH,Koria,Baikunthpur,Ambada Seed,Ambada Seed,FAQ,600,600,600,1/25/2021
2,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,4900,5000,4950,1/20/2021
3,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,2000,4025,3012,1/10/2021
4,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,3995,4010,4002,1/9/2021
